,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos
384,B. Leno,27,Germany,Arsenal,84,86,€26M,€91K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,26M,91K,"B. Leno, GK"
385,B. Martella,26,Italy,Brescia,70,71,€1.8M,€8K,LB,2023,78,57,70,67,62,71,Serie A,Italy,Defender,1.8M,8K,"B. Martella, LB"
386,B. Matuidi,32,France,Juventus,85,85,€25M,€145K,CDM,2020,75,66,76,78,83,81,Serie A,Italy,Midfielder,25M,145K,"B. Matuidi, CDM"
387,B. Meccariello,28,Italy,Lecce,68,69,€875K,€7K,CB,2021,66,29,42,44,67,76,Serie A,Italy,Defender,875K,7K,"B. Meccariello, CB"
388,B. Mee,29,England,Burnley,78,78,€8.5M,€37K,CB,2021,61,42,58,62,79,80,Premier League,UK,Defender,8.5M,37K,"B. Mee, CB"
389,B. Mendy,24,France,Manchester City,80,85,€17.5M,€96K,LB,2022,81,51,77,77,77,77,Premier League,UK,Defender,17.5M,96K,"B. Mendy, LB"
390,B. Ndilu,18,France,FC Nantes,60,76,€425K,€2K,ST,2024,60,61,47,57,20,56,Ligue 1,France,Forward,425K,2K,"B. Ndilu, ST"
391,B. Nuytinck,29,Netherlands,Udinese,73,74,€3.8M,€14K,CB,2021,34,40,48,52,76,69,Serie A,Italy,Defender,3.8M,14K,"B. Nuytinck, CB"
392,B. Oczipka,30,Germany,FC Schalke 04,75,75,€5.5M,€25K,LWB,2020,67,59,72,71,74,75,Bundesliga,Germany,Defender,5.5M,25K,"B. Oczipka, LWB"
393,B. Osborn,24,England,Sheffield United,72,77,€3.7M,€19K,LWB,2022,76,64,70,72,64,60,Premier League,UK,Defender,3.7M,19K,"B. Osborn, LWB"
394,B. Pavard,23,France,FC Bayern Munchen,79,85,€15.5M,€72K,CB,2024,69,47,72,70,81,74,Bundesliga,Germany,Defender,15.5M,72K,"B. Pavard, CB"
395,B. Peacock-Farrell,22,Northern Ireland,Burnley,69,78,€1.3M,€10K,GK,2023,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.3M,10K,"B. Peacock-Farrell, GK"
396,B. Radunovic,23,Serbia,Hellas Verona,68,78,€1.1M,€4K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,1.1M,4K,"B. Radunovic, GK"
397,B. Raman,24,Belgium,FC Schalke 04,76,80,€10M,€25K,LM,2024,91,72,66,79,26,56,Bundesliga,Germany,Midfielder,10M,25K,"B. Raman, LM"
398,B. Reynet,28,France,Toulouse Football Club,77,79,€7.5M,€23K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,7.5M,23K,"B. Reynet, GK"
399,B. Saka,17,England,Arsenal,65,86,€1.2M,€2K,LM,2023,83,60,58,67,37,59,Premier League,UK,Midfielder,1.2M,2K,"B. Saka, LM"
400,B. Salamon,28,Poland,SPAL,71,71,€2.1M,€9K,CB,2021,43,46,58,56,71,69,Serie A,Italy,Defender,2.1M,9K,"B. Salamon, CB"
401,B. Santamaria,24,France,Angers SCO,78,83,€12.5M,€21K,CDM,2022,64,63,73,77,75,73,Ligue 1,France,Midfielder,12.5M,21K,"B. Santamaria, CDM"
402,B. Sarr,27,France,Olympique de Marseille,75,76,€6.5M,€28K,RB,2022,82,66,69,74,71,71,Ligue 1,France,Defender,6.5M,28K,"B. Sarr, RB"
403,B. Schmitz,24,Germany,1. FC Koln,71,74,€2.6M,€13K,RB,2022,69,50,64,65,70,70,Bundesliga,Germany,Defender,2.6M,13K,"B. Schmitz, RB"
404,B. Scott,20,United States,1. FC Koln,59,71,€230K,€2K,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,230K,2K,"B. Scott, GK"
405,B. Sharp,33,England,Sheffield United,74,74,€3.5M,€32K,ST,2021,58,74,62,64,42,68,Premier League,UK,Forward,3.5M,32K,"B. Sharp, ST"
406,B. Soumare,20,France,LOSC Lille,72,86,€7M,€18K,CM,2022,69,56,67,74,67,71,Ligue 1,France,Midfielder,7M,18K,"B. Soumare, CM"
407,B. Soumare,20,France,Dijon FCO,60,69,€325K,€2K,CM,2022,68,48,58,62,48,52,Ligue 1,France,Midfielder,325K,2K,"B. Soumare, CM"
408,B. Srarfi,22,Tunisia,OGC Nice,72,78,€4.3M,€21K,RW,2021,78,67,69,77,32,49,Ligue 1,France,Forward,4.3M,21K,"B. Srarfi, RW"
409,B. Stambouli,28,France,FC Schalke 04,78,78,€9M,€32K,CB,2020,63,55,67,70,79,76,Bundesliga,Germany,Defender,9M,32K,"B. Stambouli, CB"
410,B. Tekpetey,21,Ghana,Fortuna Dusseldorf,72,80,€4.6M,€15K,RM,2021,83,64,62,77,30,61,Bundesliga,Germany,Midfielder,4.6M,15K,"B. Tekpetey, RM"
411,B. Traore,23,Burkina Faso,Olympique Lyonnais,78,82,€13.5M,€61K,RW,2022,87,73,71,83,43,66,Ligue 1,France,Forward,13.5M,61K,"B. Traore, RW"
412,B. Vera,20,Colombia,Lecce,58,72,€260K,€2K,CB,2023,67,37,47,50,57,58,Serie A,Italy,Defender,260K,2K,"B. Vera, CB"
413,B. Verstraete,25,Belgium,1. FC Koln,74,78,€6.5M,€20K,CDM,2023,72,58,71,69,71,74,Bundesliga,Germany,Midfielder,6.5M,20K,"B. Verstraete, CDM"
414,B. Zolinski,27,Germany,SC Paderborn 07,70,70,€1.9M,€14K,ST,2020,78,68,61,67,61,76,Bundesliga,Germany,Forward,1.9M,14K,"B. Zolinski, ST"
415,B. Zungu,26,South Africa,Amiens SC,74,79,€6.5M,€16K,CDM,2021,60,66,72,75,69,75,Ligue 1,France,Midfielder,6.5M,16K,"B. Zungu, CDM"
416,Balenziaga,31,Spain,Athletic Club de Bilbao,74,74,€4.1M,€18K,LB,2021,75,46,68,69,72,75,La Liga,Spain,Defender,4.1M,18K,"Balenziaga, LB"
417,Barragán,32,Spain,Real Betis,75,75,€4.1M,€20K,RB,2020,70,52,67,70,73,74,La Liga,Spain,Defender,4.1M,20K,"Barragán, RB"
418,Barrenetxea,17,Spain,Real Sociedad,67,80,€1.3M,€2K,ST,2025,72,66,59,70,24,37,La Liga,Spain,Forward,1.3M,2K,"Barrenetxea, ST"
419,Bartra,28,Spain,Real Betis,83,84,€25.5M,€36K,CB,2023,73,61,73,72,82,74,La Liga,Spain,Defender,25.5M,36K,"Bartra, CB"
420,Bastos,27,Angola,Lazio,78,79,€10.5M,€44K,CB,2020,78,37,50,65,79,75,Serie A,Italy,Defender,10.5M,44K,"Bastos, CB"
421,Beñat,32,Spain,Athletic Club de Bilbao,81,81,€13.5M,€32K,CM,2020,49,73,84,74,67,71,La Liga,Spain,Midfielder,13.5M,32K,"Beñat, CM"
422,Bermejo,21,Spain,RC Celta,61,72,€425K,€3K,CAM,2023,70,46,55,68,31,43,La Liga,Spain,Midfielder,425K,3K,"Bermejo, CAM"
423,Bernard,26,Brazil,Everton,80,80,€16M,€88K,LM,2022,87,69,76,85,38,44,Premier League,UK,Midfielder,16M,88K,"Bernard, LM"
424,Bernardo,24,Brazil,Brighton & Hove Albion,75,80,€8M,€33K,LB,2022,70,49,62,67,76,72,Premier League,UK,Defender,8M,33K,"Bernardo, LB"
425,Bernardo,25,Spain,Granada CF,70,75,€2.1M,€10K,CB,2021,33,39,50,43,67,78,La Liga,Spain,Defender,2.1M,10K,"Bernardo, CB"
426,Bernardo Silva,24,Portugal,Manchester City,87,90,€64M,€210K,RW,2024,81,76,83,92,51,67,Premier League,UK,Forward,64M,210K,"Bernardo Silva, RW"
427,Bernat,26,Spain,Paris Saint-Germain,80,83,€16M,€75K,LB,2021,82,61,78,85,74,66,Ligue 1,France,Defender,16M,75K,"Bernat, LB"
428,Berrocal,19,Spain,Sevilla FC,65,79,€1.1M,€2K,CB,2022,60,35,48,49,64,65,La Liga,Spain,Defender,1.1M,2K,"Berrocal, CB"
429,Bigas,28,Spain,SD Eibar,73,74,€3.9M,€17K,CB,2022,68,52,59,60,72,72,La Liga,Spain,Defender,3.9M,17K,"Bigas, CB"
430,Borja Garces,19,Spain,Atletico Madrid,65,82,€1.2M,€7K,ST,2022,64,67,46,63,31,50,La Liga,Spain,Forward,1.2M,7K,"Borja Garces, ST"
431,Borja Iglesias,26,Spain,Real Betis,83,86,€32.5M,€41K,ST,2024,67,83,63,76,35,82,La Liga,Spain,Forward,32.5M,41K,"Borja Iglesias, ST"
432,Borja Mayoral,22,Spain,Levante UD,77,83,€12.5M,€24K,ST,2020,69,75,69,77,38,68,La Liga,Spain,Forward,12.5M,24K,"Borja Mayoral, ST"
433,Borja Valero,34,Spain,Inter,79,79,€6.5M,€65K,CAM,2020,48,69,84,82,66,60,Serie A,Italy,Midfielder,6.5M,65K,"Borja Valero, CAM"
434,Brahim,19,Spain,Real Madrid,73,86,€7.5M,€58K,LW,2025,78,66,63,81,29,43,La Liga,Spain,Forward,7.5M,58K,"Brahim, LW"
435,Brais Mendez,22,Spain,RC Celta,77,86,€13.5M,€21K,RM,2021,74,75,75,77,50,63,La Liga,Spain,Midfielder,13.5M,21K,"Brais Mendez, RM"
436,Brandon Thomas,24,Spain,CA Osasuna,72,79,€4.4M,€20K,ST,2022,77,73,62,76,32,61,La Liga,Spain,Forward,4.4M,20K,"Brandon Thomas, ST"
437,Bremer,22,Brazil,Torino,71,80,€3.3M,€19K,CB,2023,62,35,48,58,70,69,Serie A,Italy,Defender,3.3M,19K,"Bremer, CB"
438,Bruno,35,Spain,Villarreal CF,78,78,€4.3M,€25K,CM,2020,31,71,77,70,76,62,La Liga,Spain,Midfielder,4.3M,25K,"Bruno, CM"
439,Bruno,29,Spain,Getafe CF,77,78,€8.5M,€23K,CB,2020,32,33,51,49,77,79,La Liga,Spain,Defender,8.5M,23K,"Bruno, CB"
440,Bruno Alves,37,Portugal,Parma,73,73,€800K,€21K,CB,2020,37,67,64,64,71,81,Serie A,Italy,Defender,800K,21K,"Bruno Alves, CB"
441,Bruno Jordão,20,Portugal,Wolverhampton Wanderers,60,70,€325K,€8K,CM,2024,55,50,58,67,44,57,Premier League,UK,Midfielder,325K,8K,"Bruno Jordão, CM"
442,Bryan Gil,18,Spain,Sevilla FC,65,81,€1.1M,€2K,LW,2022,71,60,58,71,26,34,La Liga,Spain,Forward,1.1M,2K,"Bryan Gil, LW"
443,Burgui,25,Spain,Deportivo Alaves,74,77,€7M,€20K,LM,2021,71,67,71,76,41,57,La Liga,Spain,Midfielder,7M,20K,"Burgui, LM"
444,Bustinza,27,Spain,CD Leganes,76,79,€8.5M,€26K,CB,2021,62,35,62,62,76,72,La Liga,Spain,Defender,8.5M,26K,"Bustinza, CB"
445,C. Abi,19,France,AS Saint-etienne,64,80,€975K,€4K,LW,2022,79,59,55,66,21,55,Ligue 1,France,Forward,975K,4K,"C. Abi, LW"
446,C. Adams,22,England,Southampton,74,81,€8M,€41K,ST,2024,86,75,61,73,39,76,Premier League,UK,Forward,8M,41K,"C. Adams, ST"
447,C. Adjapong,21,Italy,Sassuolo,71,81,€3.8M,€21K,LM,2023,68,51,65,75,71,59,Serie A,Italy,Midfielder,3.8M,21K,"C. Adjapong, LM"
448,C. Akolo,24,DR Congo,Amiens SC,72,77,€4.2M,€12K,RM,2020,81,68,63,78,26,61,Ligue 1,France,Midfielder,4.2M,12K,"C. Akolo, RM"
449,C. Akono,19,Germany,1. FSV Mainz 05,64,82,€975K,€4K,ST,2023,68,63,50,62,28,66,Bundesliga,Germany,Forward,975K,4K,"C. Akono, ST"
450,C. Ansaldi,32,Argentina,Torino,78,78,€8M,€45K,LM,2021,75,62,77,79,76,70,Serie A,Italy,Midfielder,8M,45K,"C. Ansaldi, LM"
451,C. Antwi-Adjej,25,Germany,SC Paderborn 07,72,75,€3.9M,€17K,LM,2021,86,60,61,77,26,55,Bundesliga,Germany,Midfielder,3.9M,17K,"C. Antwi-Adjej, LM"
452,C. Aránguiz,30,Chile,Bayer 04 Leverkusen,83,83,€24M,€86K,CM,2020,63,72,82,81,74,73,Bundesliga,Germany,Midfielder,24M,86K,"C. Aránguiz, CM"
453,C. Atsu,27,Ghana,Newcastle United,74,74,€6M,€33K,LM,2021,86,67,68,77,34,45,Premier League,UK,Midfielder,6M,33K,"C. Atsu, LM"
454,C. Awaziem,22,Nigeria,CD Leganes,74,81,€7M,€19K,CB,2020,67,39,45,60,73,75,La Liga,Spain,Defender,7M,19K,"C. Awaziem, CB"
455,C. Bacca,32,Colombia,Villarreal CF,79,79,€10M,€40K,ST,2022,70,76,64,76,33,66,La Liga,Spain,Forward,10M,40K,"C. Bacca, ST"
456,C. Basham,30,England,Sheffield United,73,73,€3.2M,€25K,CB,2021,66,43,57,59,72,79,Premier League,UK,Defender,3.2M,25K,"C. Basham, CB"
457,C. Battocchio,27,Italy,Stade Brestois 29,70,71,€2M,€11K,CM,2021,72,65,68,75,57,59,Ligue 1,France,Midfielder,2M,11K,"C. Battocchio, CM"
458,C. Baumgartner,19,Austria,TSG 1899 Hoffenheim,63,79,€800K,€4K,CAM,2023,62,44,64,68,41,49,Bundesliga,Germany,Midfielder,800K,4K,"C. Baumgartner, CAM"
459,C. Beauvue,31,France,RC Celta,72,72,€2.8M,€17K,ST,2021,65,72,65,71,40,58,La Liga,Spain,Forward,2.8M,17K,"C. Beauvue, ST"
460,C. Benavente,25,Peru,FC Nantes,72,76,€4M,€17K,CAM,2022,73,69,68,74,34,45,Ligue 1,France,Midfielder,4M,17K,"C. Benavente, CAM"
461,C. Benteke,28,Belgium,Crystal Palace,75,75,€7M,€52K,ST,2020,58,74,61,65,32,72,Premier League,UK,Forward,7M,52K,"C. Benteke, ST"
462,C. Biraghi,26,Italy,Fiorentina,75,77,€7M,€40K,LB,2021,76,55,68,71,74,70,Serie A,Italy,Defender,7M,40K,"C. Biraghi, LB"
463,C. Borthwick-Jackson,22,England,Manchester United,67,73,€925K,€23K,LB,2020,70,45,63,62,64,66,Premier League,UK,Defender,925K,23K,"C. Borthwick-Jackson, LB"
464,C. Bravo,36,Chile,Manchester City,77,77,€1.5M,€47K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,1.5M,47K,"C. Bravo, GK"
465,C. Cathcart,30,Northern Ireland,Watford,76,76,€6M,€51K,CB,2023,40,37,57,53,77,73,Premier League,UK,Defender,6M,51K,"C. Cathcart, CB"
466,C. Chambers,24,England,Arsenal,75,80,€8M,€49K,CDM,2022,63,49,65,68,74,76,Premier League,UK,Midfielder,8M,49K,"C. Chambers, CDM"
467,C. Clark,29,Republic of Ireland,Newcastle United,75,76,€6.5M,€34K,CB,2021,52,52,53,54,76,73,Premier League,UK,Defender,6.5M,34K,"C. Clark, CB"
468,C. Clemens,27,Germany,1. FC Koln,74,74,€6M,€23K,RM,2021,77,69,72,72,51,68,Bundesliga,Germany,Midfielder,6M,23K,"C. Clemens, RM"
469,C. Coady,26,England,Wolverhampton Wanderers,77,79,€9.5M,€65K,CB,2023,47,59,73,65,78,74,Premier League,UK,Defender,9.5M,65K,"C. Coady, CB"
470,C. Connolly,21,England,Everton,69,81,€1.8M,€20K,CDM,2021,60,61,65,67,69,64,Premier League,UK,Midfielder,1.8M,20K,"C. Connolly, CDM"
471,C. Coventry,19,Republic of Ireland,West Ham United,58,74,€270K,€6K,CM,2020,58,41,56,59,48,53,Premier League,UK,Midfielder,270K,6K,"C. Coventry, CM"
472,C. Dagba,20,France,Paris Saint-Germain,72,83,€4.9M,€29K,RB,2023,83,50,68,77,68,57,Ligue 1,France,Defender,4.9M,29K,"C. Dagba, RB"
473,C. Daniels,32,England,Bournemouth,73,73,€2.5M,€41K,LB,2020,63,61,72,72,74,64,Premier League,UK,Defender,2.5M,41K,"C. Daniels, LB"
474,C. Dawson,29,England,Watford,75,75,€5.5M,€51K,CB,2023,62,43,58,60,75,77,Premier League,UK,Defender,5.5M,51K,"C. Dawson, CB"
475,C. Dell'Orco,25,Italy,Lecce,70,75,€2.1M,€9K,CB,2020,63,47,59,67,70,66,Serie A,Italy,Defender,2.1M,9K,"C. Dell'Orco, CB"
476,C. Doukoure,26,Ivory Coast,Levante UD,72,77,€3.7M,€15K,CDM,2021,68,62,65,67,72,76,La Liga,Spain,Midfielder,3.7M,15K,"C. Doukoure, CDM"
477,C. Eriksen,27,Denmark,Tottenham Hotspur,88,89,€68M,€205K,CAM,2020,73,81,90,84,53,63,Premier League,UK,Midfielder,68M,205K,"C. Eriksen, CAM"
478,C. Falletti,26,Uruguay,Bologna,72,75,€3.9M,€22K,CAM,2021,81,64,69,78,33,61,Serie A,Italy,Midfielder,3.9M,22K,"C. Falletti, CAM"
479,C. Fuchs,33,Austria,Leicester City,73,73,€1.8M,€49K,LB,2020,49,67,76,70,75,68,Premier League,UK,Defender,1.8M,49K,"C. Fuchs, LB"
480,C. Ganea,27,Romania,Athletic Club de Bilbao,71,72,€2.4M,€13K,LB,2021,77,62,59,67,66,69,La Liga,Spain,Defender,2.4M,13K,"C. Ganea, LB"
481,C. Gentner,33,Germany,1. FC Union Berlin,73,73,€2.3M,€29K,CM,2020,34,72,71,67,72,73,Bundesliga,Germany,Midfielder,2.3M,29K,"C. Gentner, CM"
482,C. Gomes,18,France,Manchester City,66,81,€1.2M,€7K,CDM,2023,67,56,61,63,65,62,Premier League,UK,Midfielder,1.2M,7K,"C. Gomes, CDM"
483,C. Grenier,28,France,Stade Rennais FC,78,78,€10.5M,€45K,CM,2021,54,75,80,76,62,69,Ligue 1,France,Midfielder,10.5M,45K,"C. Grenier, CM"
484,C. Groß,30,Germany,SV Werder Bremen,67,67,€625K,€8K,CB,2020,59,55,59,64,65,70,Bundesliga,Germany,Defender,625K,8K,"C. Groß, CB"
485,C. Gruezo,24,Ecuador,FC Augsburg,72,79,€4M,€14K,CDM,2024,59,46,62,66,69,76,Bundesliga,Germany,Midfielder,4M,14K,"C. Gruezo, CDM"
486,C. Gunter,26,Germany,SC Freiburg,75,76,€7M,€21K,LB,2022,82,48,67,69,71,79,Bundesliga,Germany,Defender,7M,21K,"C. Gunter, LB"
487,C. Herelle,26,France,OGC Nice,78,80,€11M,€31K,CB,2022,64,46,63,62,78,74,Ligue 1,France,Defender,11M,31K,"C. Herelle, CB"
488,C. Hourihane,28,Republic of Ireland,Aston Villa,74,74,€5.5M,€47K,CM,2022,65,69,75,69,65,74,Premier League,UK,Midfielder,5.5M,47K,"C. Hourihane, CM"
489,C. Hudson-Odoi,18,England,Chelsea,74,88,€11.5M,€31K,RW,2020,85,64,67,81,30,60,Premier League,UK,Forward,11.5M,31K,"C. Hudson-Odoi, RW"
490,C. Immobile,29,Italy,Lazio,86,86,€44.5M,€105K,ST,2023,80,85,63,81,39,76,Serie A,Italy,Forward,44.5M,105K,"C. Immobile, ST"
491,C. Jallet,35,France,Amiens SC,72,72,€875K,€9K,RB,2020,55,59,73,72,73,68,Ligue 1,France,Defender,875K,9K,"C. Jallet, RB"
492,C. Jean,23,France,Toulouse Football Club,72,77,€4.2M,€17K,RM,2021,80,68,68,75,31,54,Ligue 1,France,Midfielder,4.2M,17K,"C. Jean, RM"
493,C. Johnson,21,England,Wolverhampton Wanderers,62,70,€400K,€8K,CB,2020,64,31,43,53,60,69,Premier League,UK,Defender,400K,8K,"C. Johnson, CB"
494,C. Jones,18,England,Liverpool,61,82,€575K,€4K,CM,2024,61,56,60,66,48,53,Premier League,UK,Midfielder,575K,4K,"C. Jones, CM"
495,C. Kabasele,28,Belgium,Watford,78,79,€10M,€61K,CB,2021,70,50,51,62,78,77,Premier League,UK,Defender,10M,61K,"C. Kabasele, CB"
496,C. Kahraman,20,Turkey,1. FC Union Berlin,60,74,€450K,€4K,CAM,2020,65,56,55,62,48,51,Bundesliga,Germany,Midfielder,450K,4K,"C. Kahraman, CAM"
497,C. Kelleher,20,Republic of Ireland,Liverpool,59,74,€290K,€5K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,290K,5K,"C. Kelleher, GK"
498,C. Kouame,21,Ivory Coast,Genoa,75,83,€10M,€14K,ST,2023,84,71,61,75,40,70,Serie A,Italy,Forward,10M,14K,"C. Kouame, ST"
499,C. Kouyate,29,Senegal,Crystal Palace,76,76,€6.5M,€46K,CDM,2022,69,65,61,69,76,85,Premier League,UK,Midfielder,6.5M,46K,"C. Kouyate, CDM"
500,C. Kramer,28,Germany,Borussia Monchengladbach,80,81,€14.5M,€34K,CDM,2021,52,49,71,73,77,77,Bundesliga,Germany,Midfielder,14.5M,34K,"C. Kramer, CDM"
501,C. Lenglet,24,France,FC Barcelona,85,89,€45M,€175K,CB,2023,75,45,68,65,86,80,La Liga,Spain,Defender,45M,175K,"C. Lenglet, CB"
502,C. Lenz,24,Germany,1. FC Union Berlin,68,73,€1.1M,€11K,LB,2021,67,39,61,68,64,64,Bundesliga,Germany,Defender,1.1M,11K,"C. Lenz, LB"
503,C. Lykogiannis,25,Greece,Cagliari,65,70,€625K,€7K,LB,2022,68,68,65,62,61,67,Serie A,Italy,Defender,625K,7K,"C. Lykogiannis, LB"
504,C. Martina,29,Curacao,Everton,70,70,€1.5M,€35K,RB,2020,63,52,65,64,70,73,Premier League,UK,Defender,1.5M,35K,"C. Martina, RB"
505,C. Mepham,21,Wales,Bournemouth,73,81,€5.5M,€30K,CB,2023,62,33,53,60,72,73,Premier League,UK,Defender,5.5M,30K,"C. Mepham, CB"
506,C. Niasse,19,Senegal,LOSC Lille,64,80,€900K,€4K,CDM,2023,58,44,56,60,62,64,Ligue 1,France,Midfielder,900K,4K,"C. Niasse, CDM"
507,C. Ninga,26,Chad,Angers SCO,73,74,€4.7M,€19K,LM,2022,91,73,65,70,27,78,Ligue 1,France,Midfielder,4.7M,19K,"C. Ninga, LM"
508,C. Nkunku,21,France,RB Leipzig,77,85,€13M,€34K,CM,2024,77,74,75,80,69,65,Bundesliga,Germany,Midfielder,13M,34K,"C. Nkunku, CM"
509,C. O'Hare,21,England,Aston Villa,60,74,€450K,€6K,CM,2020,72,55,56,64,45,50,Premier League,UK,Midfielder,450K,6K,"C. O'Hare, CM"
510,C. Oliva,23,Uruguay,Cagliari,70,78,€2.6M,€15K,CM,2023,64,59,68,68,69,68,Serie A,Italy,Midfielder,2.6M,15K,"C. Oliva, CM"
511,C. Oliveira Souza,23,Brazil,SC Paderborn 07,69,76,€1.5M,€10K,RM,2021,80,60,61,75,46,57,Bundesliga,Germany,Midfielder,1.5M,10K,"C. Oliveira Souza, RM"
512,C. Piccini,26,Italy,Valencia CF,77,79,€9.5M,€31K,RB,2022,77,42,66,72,76,76,La Liga,Spain,Defender,9.5M,31K,"C. Piccini, RB"
513,C. Pinsoglio,29,Italy,Juventus,72,72,€2.2M,€44K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,2.2M,44K,"C. Pinsoglio, GK"
514,C. Pizarro,40,Peru,SV Werder Bremen,75,75,€ 0,€20K,ST,2020,34,77,73,75,37,64,Bundesliga,Germany,Forward,0,20K,"C. Pizarro, ST"
515,C. Pulisic,20,United States,Chelsea,79,86,€18M,€85K,LW,2024,90,68,70,84,36,58,Premier League,UK,Forward,18M,85K,"C. Pulisic, LW"
516,C. Robinson,24,Republic of Ireland,Sheffield United,73,78,€5.5M,€26K,ST,2023,85,72,65,74,34,60,Premier League,UK,Forward,5.5M,26K,"C. Robinson, ST"
517,C. Rocchia,21,France,Olympique de Marseille,65,79,€1.1M,€5K,LB,2021,75,41,55,58,61,59,Ligue 1,France,Defender,1.1M,5K,"C. Rocchia, LB"
518,C. Romero,21,Argentina,Genoa,73,87,€8M,€9K,CB,2024,63,35,43,47,72,77,Serie A,Italy,Defender,8M,9K,"C. Romero, CB"
519,C. Rowe,19,England,Aston Villa,52,67,€110K,€4K,CM,2020,63,38,51,54,43,52,Premier League,UK,Midfielder,110K,4K,"C. Rowe, CM"
520,C. Sánchez,33,Colombia,West Ham United,75,75,€3.2M,€57K,CDM,2020,60,58,70,68,74,73,Premier League,UK,Midfielder,3.2M,57K,"C. Sánchez, CDM"
521,C. Slattery,20,England,Southampton,62,79,€675K,€6K,CAM,2022,60,58,57,61,43,64,Premier League,UK,Midfielder,675K,6K,"C. Slattery, CAM"
522,C. Smalling,29,England,Manchester United,80,80,€12.5M,€115K,CB,2022,69,47,58,58,79,81,Premier League,UK,Defender,12.5M,115K,"C. Smalling, CB"
523,C. Soyuncu,23,Turkey,Leicester City,74,82,€7.5M,€46K,CB,2023,63,45,52,59,74,74,Premier League,UK,Defender,7.5M,46K,"C. Soyuncu, CB"
524,C. Strohdiek,31,Germany,SC Paderborn 07,69,69,€775K,€10K,CB,2021,34,21,38,39,69,72,Bundesliga,Germany,Defender,775K,10K,"C. Strohdiek, CB"
525,C. Tataru<U+0219>anu,33,Romania,Olympique Lyonnais,79,79,€7M,€52K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,7M,52K,"C. Tataru<U+0219>anu, GK"
526,C. Taylor,25,England,Burnley,76,79,€8.5M,€29K,LB,2021,71,54,71,74,75,76,Premier League,UK,Defender,8.5M,29K,"C. Taylor, LB"
527,C. Thereau,36,France,Fiorentina,72,72,€1M,€27K,LW,2020,56,76,71,73,37,65,Serie A,Italy,Forward,1M,27K,"C. Thereau, LW"
528,C. Timite,21,Ivory Coast,Amiens SC,69,79,€1.7M,€7K,ST,2021,75,64,55,70,35,63,Ligue 1,France,Forward,1.7M,7K,"C. Timite, ST"
529,C. Tolisso,24,France,FC Bayern Munchen,83,88,€34M,€110K,CM,2022,69,77,79,78,76,79,Bundesliga,Germany,Midfielder,34M,110K,"C. Tolisso, CM"
530,C. Tosun,28,Turkey,Everton,77,77,€9M,€80K,ST,2022,71,77,66,73,36,73,Premier League,UK,Forward,9M,80K,"C. Tosun, ST"
531,C. Traore,27,Mali,FC Nantes,70,71,€1.8M,€13K,LB,2021,75,35,54,66,71,75,Ligue 1,France,Defender,1.8M,13K,"C. Traore, LB"
532,C. Trimmel,32,Austria,1. FC Union Berlin,72,72,€1.9M,€24K,RB,2020,73,59,67,67,68,79,Bundesliga,Germany,Defender,1.9M,24K,"C. Trimmel, RB"
533,C. Ünder,21,Turkey,Roma,78,86,€15.5M,€35K,RW,2023,82,75,74,82,37,50,Serie A,Italy,Forward,15.5M,35K,"C. Ünder, RW"
534,C. Vidal,19,France,Montpellier HSC,64,77,€775K,€3K,CB,2021,54,32,41,45,67,58,Ligue 1,France,Defender,775K,3K,"C. Vidal, CB"
535,C. Wickham,26,England,Crystal Palace,70,72,€2.2M,€29K,ST,2021,49,72,61,65,30,71,Premier League,UK,Forward,2.2M,29K,"C. Wickham, ST"
536,C. Wilson,27,England,Bournemouth,80,81,€17.5M,€81K,ST,2023,87,78,67,77,39,75,Premier League,UK,Forward,17.5M,81K,"C. Wilson, ST"
537,C. Wood,27,New Zealand,Burnley,77,78,€10.5M,€39K,ST,2021,70,76,59,68,40,79,Premier League,UK,Forward,10.5M,39K,"C. Wood, ST"
538,C. Zapata,32,Colombia,Genoa,78,78,€6.5M,€18K,CB,2021,61,32,46,56,82,76,Serie A,Italy,Defender,6.5M,18K,"C. Zapata, CB"
539,C. Zimmermann,26,Germany,Norwich City,72,75,€3.4M,€29K,CB,2023,53,33,43,44,72,78,Premier League,UK,Defender,3.4M,29K,"C. Zimmermann, CB"
540,Caiuby,30,Brazil,FC Augsburg,73,73,€3.8M,€20K,LM,2020,80,73,68,71,38,81,Bundesliga,Germany,Midfielder,3.8M,20K,"Caiuby, LM"
