,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages
498,Borja Valero,34,Spain,Inter,79,79,6500000,65000,CAM,2020,48,69,84,82,66,60,Serie A,Italy,Midfielder,6.5M,65K
499,M. Škrtel,34,Slovakia,Atalanta,79,79,4700000,53000,CB,2020,51,38,50,51,78,82,Serie A,Italy,Defender,4.7M,53K
500,J. Evans,31,Northern Ireland,Leicester City,79,79,9500000,76000,CB,2021,56,32,59,53,80,75,Premier League,UK,Defender,9.5M,76K
501,N. Moisander,33,Finland,SV Werder Bremen,79,79,6.00E+06,31000,CB,2021,50,49,69,70,80,71,Bundesliga,Germany,Defender,6M,31K
502,D. Criscito,32,Italy,Genoa,79,79,8.00E+06,20000,LB,2022,74,61,76,72,79,75,Serie A,Italy,Defender,8M,20K
503,A. Candreva,32,Italy,Inter,79,79,1.00E+07,65000,RM,2021,74,78,76,80,61,67,Serie A,Italy,Midfielder,10M,65K
504,K. Boateng,32,Ghana,Fiorentina,79,79,1.00E+07,63000,CF,2024,65,79,78,80,67,77,Serie A,Italy,Forward,10M,63K
505,Nacho Monreal,33,Spain,Arsenal,79,79,5500000,76000,LB,2020,63,61,71,74,80,68,Premier League,UK,Defender,5.5M,76K
506,Ángel,32,Spain,Getafe CF,79,79,1.00E+07,31000,ST,2020,74,79,61,79,34,64,La Liga,Spain,Forward,10M,31K
507,Granero,31,Spain,RCD Espanyol,79,79,1.10E+07,33000,CM,2020,47,74,81,76,67,67,La Liga,Spain,Midfielder,11M,33K
508,S. Coleman,30,Republic of Ireland,Everton,79,79,1.00E+07,76000,RB,2022,74,65,73,77,79,71,Premier League,UK,Defender,10M,76K
509,A. Lallana,31,England,Liverpool,79,79,1.10E+07,89000,CM,2021,67,71,79,82,62,65,Premier League,UK,Midfielder,11M,89K
510,M. Gradel,31,Ivory Coast,Toulouse Football Club,79,79,1.10E+07,38000,LW,2021,84,78,73,81,42,62,Ligue 1,France,Forward,11M,38K
511,Yuri Berchiche,29,Spain,Athletic Club de Bilbao,79,79,10500000,27000,LB,2022,80,64,71,74,78,81,La Liga,Spain,Defender,10.5M,27K
512,O. Toprak,29,Turkey,SV Werder Bremen,79,79,10500000,32000,CB,2020,71,37,62,66,80,74,Bundesliga,Germany,Defender,10.5M,32K
513,K. Asamoah,30,Ghana,Inter,79,79,1.00E+07,60000,LB,2021,74,68,78,82,79,74,Serie A,Italy,Defender,10M,60K
514,S. Lulic,33,Bosnia Herzegovina,Lazio,79,79,7500000,53000,LM,2020,78,72,77,78,75,76,Serie A,Italy,Midfielder,7.5M,53K
515,J. Wilshere,27,England,West Ham United,79,79,1.30E+07,83000,CM,2021,64,68,80,81,63,66,Premier League,UK,Midfielder,13M,83K
516,Guaita,32,Spain,Crystal Palace,79,79,7500000,45000,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,7.5M,45K
517,Cote,29,Spain,SD Eibar,79,79,10500000,27000,LB,2020,69,54,75,74,79,69,La Liga,Spain,Defender,10.5M,27K
518,Iago Falqué,29,Spain,Torino,79,79,12500000,56000,CF,2022,75,74,79,84,41,54,Serie A,Italy,Forward,12.5M,56K
519,J. Pastore,30,Argentina,Roma,79,79,11500000,47000,CM,2022,62,73,81,82,56,58,Serie A,Italy,Midfielder,11.5M,47K
520,F. Orellana,33,Chile,SD Eibar,79,79,7500000,28000,RM,2020,72,75,78,81,40,45,La Liga,Spain,Midfielder,7.5M,28K
521,Kike García,29,Spain,SD Eibar,79,79,12500000,32000,ST,2021,61,79,63,75,38,73,La Liga,Spain,Forward,12.5M,32K
522,Escudero,29,Spain,Sevilla FC,79,79,10500000,20000,LB,2021,72,63,74,71,79,72,La Liga,Spain,Defender,10.5M,20K
523,Mario Gaspar,28,Spain,Villarreal CF,79,79,1.10E+07,35000,RB,2023,74,70,71,72,79,76,La Liga,Spain,Defender,11M,35K
524,Herrerín,31,Spain,Athletic Club de Bilbao,79,79,8.00E+06,21000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,8M,21K
525,I. Belfodil,27,Algeria,TSG 1899 Hoffenheim,79,79,13500000,44000,ST,2022,71,77,69,78,36,81,Bundesliga,Germany,Forward,13.5M,44K
526,A. Yarmolenko,29,Ukraine,West Ham United,79,79,12500000,87000,RM,2022,68,80,78,82,42,70,Premier League,UK,Midfielder,12.5M,87K
527,D. Caligiuri,31,Italy,FC Schalke 04,79,79,9.00E+06,33000,RWB,2020,74,74,77,79,72,76,Bundesliga,Germany,Defender,9M,33K
528,Danilo,27,Brazil,Juventus,79,79,1.10E+07,90000,RB,2024,71,70,74,74,78,76,Serie A,Italy,Defender,11M,90K
529,N. Pallois,31,France,FC Nantes,79,79,9500000,29000,CB,2022,49,53,60,56,79,84,Ligue 1,France,Defender,9.5M,29K
530,M. Badelj,30,Croatia,Fiorentina,79,79,10500000,53000,CDM,2020,54,63,76,73,76,71,Serie A,Italy,Midfielder,10.5M,53K
531,C. Tataru<U+0219>anu,33,Romania,Olympique Lyonnais,79,79,7.00E+06,52000,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,7M,52K
532,D. Suárez,31,Uruguay,Getafe CF,79,79,9.00E+06,26000,RB,2022,76,67,74,73,78,76,La Liga,Spain,Defender,9M,26K
533,Mário Rui,28,Portugal,Napoli,79,79,1.10E+07,62000,LB,2022,83,49,73,79,73,67,Serie A,Italy,Defender,11M,62K
534,T. Inui,31,Japan,SD Eibar,79,79,1.10E+07,28000,LM,2022,81,72,75,84,46,54,La Liga,Spain,Midfielder,11M,28K
535,D. Cheryshev,28,Russia,Valencia CF,79,79,12500000,41000,LM,2022,77,79,78,78,55,67,La Liga,Spain,Midfielder,12.5M,41K
536,C. Bacca,32,Colombia,Villarreal CF,79,79,1.00E+07,40000,ST,2022,70,76,64,76,33,66,La Liga,Spain,Forward,10M,40K
537,Rubén Peña,27,Spain,Villarreal CF,79,79,1.10E+07,34000,RB,2024,83,71,72,81,75,69,La Liga,Spain,Defender,11M,34K
538,D. Benedetto,29,Argentina,Olympique de Marseille,79,79,12500000,46000,ST,2023,80,80,66,75,38,73,Ligue 1,France,Forward,12.5M,46K
539,Rubén Alcaraz,28,Spain,Real Valladolid CF,79,79,12500000,26000,CM,2022,64,73,79,71,80,82,La Liga,Spain,Midfielder,12.5M,26K
540,A. Meret,22,Italy,Napoli,78,89,1.40E+07,36000,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,14M,36K
541,I. Sarr,21,Senegal,Watford,78,88,1.70E+07,47000,RM,2024,94,77,68,81,22,64,Premier League,UK,Midfielder,17M,47K
542,D. Rice,20,England,West Ham United,78,87,1.50E+07,49000,CDM,2024,62,37,64,68,77,77,Premier League,UK,Midfielder,15M,49K
543,J. Andersen,23,Denmark,Olympique Lyonnais,78,86,1.40E+07,50000,CB,2024,60,40,54,55,78,79,Ligue 1,France,Defender,14M,50K
544,I. Diop,22,France,West Ham United,78,86,1.40E+07,59000,CB,2023,67,36,52,55,79,79,Premier League,UK,Defender,14M,59K
545,H. Onyekuru,22,Nigeria,AS Monaco,78,86,15500000,35000,LM,2024,90,74,67,82,34,56,Ligue 1,France,Midfielder,15.5M,35K
546,J. Ikoné,21,France,LOSC Lille,78,86,15500000,29000,CAM,2023,89,70,72,82,33,60,Ligue 1,France,Midfielder,15.5M,29K
547,C. Ünder,21,Turkey,Roma,78,86,15500000,35000,RW,2023,82,75,74,82,37,50,Serie A,Italy,Forward,15.5M,35K
548,M. Ødegaard,20,Norway,Real Sociedad,78,85,14500000,25000,RW,2020,74,69,82,85,40,49,La Liga,Spain,Forward,14.5M,25K
549,J. Bamba,23,France,LOSC Lille,78,85,14500000,35000,LM,2023,89,75,69,82,36,62,Ligue 1,France,Midfielder,14.5M,35K
550,N. Amiri,22,Germany,Bayer 04 Leverkusen,78,85,14500000,50000,CAM,2024,73,67,76,83,54,64,Bundesliga,Germany,Midfielder,14.5M,50K
551,O. Zinchenko,22,Ukraine,Manchester City,78,85,1.30E+07,82000,LB,2024,71,66,80,79,77,66,Premier League,UK,Defender,13M,82K
552,J. Mateta,22,France,1. FSV Mainz 05,78,85,1.50E+07,29000,ST,2023,82,75,53,73,34,77,Bundesliga,Germany,Forward,15M,29K
553,O. Yokuslu,25,Turkey,RC Celta,78,84,1.30E+07,22000,CDM,2023,68,70,73,73,75,84,La Liga,Spain,Midfielder,13M,22K
554,B. Cristante,24,Italy,Roma,78,84,1.40E+07,37000,CM,2023,58,72,75,75,74,76,Serie A,Italy,Midfielder,14M,37K
555,L. Dendoncker,24,Belgium,Wolverhampton Wanderers,78,84,1.40E+07,66000,CM,2023,67,72,77,71,78,83,Premier League,UK,Midfielder,14M,66K
556,M. Dahoud,23,Germany,Borussia Dortmund,78,84,1.40E+07,58000,CM,2022,73,66,75,84,64,68,Bundesliga,Germany,Midfielder,14M,58K
557,Joelinton,22,Brazil,Newcastle United,78,84,14500000,41000,ST,2024,78,75,60,76,43,81,Premier League,UK,Forward,14.5M,41K
558,Aarón Martín,22,Spain,1. FSV Mainz 05,78,84,12500000,24000,LB,2023,72,47,73,76,77,65,Bundesliga,Germany,Defender,12.5M,24K
559,E. Bardhi,23,FYR Macedonia,Levante UD,78,84,1.40E+07,23000,CM,2022,72,81,78,80,63,56,La Liga,Spain,Midfielder,14M,23K
560,N. Maksimovic,24,Serbia,Getafe CF,78,84,1.40E+07,22000,CM,2024,62,67,74,71,76,74,La Liga,Spain,Midfielder,14M,22K
561,Calero,23,Spain,RCD Espanyol,78,84,1.30E+07,23000,CB,2024,72,46,69,71,79,76,La Liga,Spain,Defender,13M,23K
562,Óliver Torres,24,Spain,Sevilla FC,78,83,13500000,17000,CM,2024,67,66,78,82,63,52,La Liga,Spain,Midfielder,13.5M,17K
563,G. Laborde,25,France,Montpellier HSC,78,83,1.40E+07,36000,ST,2022,72,76,67,75,34,79,Ligue 1,France,Forward,14M,36K
564,R. De Paul,25,Argentina,Udinese,78,83,1.40E+07,21000,CF,2023,75,73,78,82,35,63,Serie A,Italy,Forward,14M,21K
565,D. Selke,24,Germany,Hertha BSC,78,83,1.40E+07,29000,ST,2022,76,76,53,72,43,76,Bundesliga,Germany,Forward,14M,29K
566,M. Lemina,25,Gabon,Southampton,78,83,13500000,53000,CM,2022,72,68,76,78,72,72,Premier League,UK,Midfielder,13.5M,53K
567,D. Origi,24,Belgium,Liverpool,78,83,1.40E+07,77000,ST,2022,82,76,67,75,27,74,Premier League,UK,Forward,14M,77K
568,E. Pulgar,25,Chile,Fiorentina,78,83,12500000,45000,CDM,2024,64,61,75,74,76,78,Serie A,Italy,Midfielder,12.5M,45K
569,J. Musso,25,Argentina,Udinese,78,83,1.00E+07,14000,GK,2023,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,10M,14K
570,Rúben Vezo,25,Portugal,Levante UD,78,83,12500000,23000,CB,2024,75,54,63,63,79,75,La Liga,Spain,Defender,12.5M,23K
571,B. Santamaria,24,France,Angers SCO,78,83,12500000,21000,CDM,2022,64,63,73,77,75,73,Ligue 1,France,Midfielder,12.5M,21K
572,Y. Mina,24,Colombia,Everton,78,83,12500000,59000,CB,2023,51,54,55,56,78,80,Premier League,UK,Defender,12.5M,59K
573,Joan Jordán,24,Spain,Sevilla FC,78,83,13500000,17000,CM,2023,63,74,78,76,67,67,La Liga,Spain,Midfielder,13.5M,17K
574,L. Tousart,22,France,Olympique Lyonnais,78,83,12500000,50000,CDM,2023,62,53,66,64,79,83,Ligue 1,France,Midfielder,12.5M,50K
575,Y. Yazici,22,Turkey,LOSC Lille,78,83,1.40E+07,35000,CAM,2024,75,74,78,81,47,74,Ligue 1,France,Midfielder,14M,35K
576,M. Gregoritsch,25,Austria,FC Augsburg,78,82,13500000,26000,CAM,2022,64,78,74,74,40,71,Bundesliga,Germany,Midfielder,13.5M,26K
577,J. Lascelles,25,England,Newcastle United,78,82,1.20E+07,37000,CB,2024,59,28,51,57,78,80,Premier League,UK,Defender,12M,37K
578,Denis Suárez,25,Spain,RC Celta,78,82,1.30E+07,25000,CM,2023,76,72,79,83,59,56,La Liga,Spain,Midfielder,13M,25K
579,K. Rekik,24,Netherlands,Hertha BSC,78,82,1.20E+07,24000,CB,2021,67,39,59,62,78,77,Bundesliga,Germany,Defender,12M,24K
580,B. Traoré,23,Burkina Faso,Olympique Lyonnais,78,82,13500000,61000,RW,2022,87,73,71,83,43,66,Ligue 1,France,Forward,13.5M,61K
581,I. Amadou,26,France,Norwich City,78,82,1.20E+07,46000,CDM,2020,71,55,66,72,76,81,Premier League,UK,Midfielder,12M,46K
582,M. Meyer,23,Germany,Crystal Palace,78,82,13500000,48000,CM,2021,67,62,79,83,65,65,Premier League,UK,Midfielder,13.5M,48K
583,M. Sels,27,Belgium,RC Strasbourg Alsace,78,81,9.00E+06,24000,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,9M,24K
584,A. Soumaoro,27,France,LOSC Lille,78,81,1.10E+07,36000,CB,2021,60,37,56,54,76,83,Ligue 1,France,Defender,11M,36K
585,J. Veretout,26,France,Roma,78,81,12500000,42000,CM,2020,63,71,78,77,71,69,Serie A,Italy,Midfielder,12.5M,42K
586,S. Meïté,25,France,Torino,78,81,1.30E+07,43000,CM,2023,66,61,74,78,75,83,Serie A,Italy,Midfielder,13M,43K
587,J. Boëtius,25,Netherlands,1. FSV Mainz 05,78,81,1.30E+07,29000,CAM,2022,85,70,74,81,42,64,Bundesliga,Germany,Midfielder,13M,29K
588,D. Berardi,24,Italy,Sassuolo,78,81,1.30E+07,50000,RW,2022,77,77,74,82,37,67,Serie A,Italy,Forward,13M,50K
589,R. Gagliardini,25,Italy,Inter,78,81,1.20E+07,51000,CDM,2023,61,63,71,74,77,73,Serie A,Italy,Midfielder,12M,51K
590,Ayoze Pérez,25,Spain,Leicester City,78,81,1.30E+07,79000,CF,2023,76,75,67,81,54,66,Premier League,UK,Forward,13M,79K
591,H. Hateboer,25,Netherlands,Atalanta,78,81,1.30E+07,50000,RM,2020,83,62,70,77,75,75,Serie A,Italy,Midfielder,13M,50K
592,Rafael Tolói,28,Brazil,Atalanta,78,80,10500000,50000,CB,2020,64,47,58,62,80,67,Serie A,Italy,Defender,10.5M,50K
593,S. Duffy,27,Republic of Ireland,Brighton & Hove Albion,78,80,1.10E+07,46000,CB,2023,47,45,51,48,78,80,Premier League,UK,Defender,11M,46K
594,F. Lejeune,28,France,Newcastle United,78,80,10500000,41000,CB,2022,49,57,61,65,78,79,Premier League,UK,Defender,10.5M,41K
595,L. Dunk,27,England,Brighton & Hove Albion,78,80,1.10E+07,46000,CB,2023,46,40,55,61,78,77,Premier League,UK,Defender,11M,46K
596,Pedro Mendes,28,Portugal,Montpellier HSC,78,80,10500000,33000,CB,2021,63,36,50,62,80,79,Ligue 1,France,Defender,10.5M,33K
597,C. Hérelle,26,France,OGC Nice,78,80,1.10E+07,31000,CB,2022,64,46,63,62,78,74,Ligue 1,France,Defender,11M,31K
598,Omar Mascarell,26,Spain,FC Schalke 04,78,80,11500000,30000,CDM,2022,63,61,72,76,74,76,Bundesliga,Germany,Midfielder,11.5M,30K
599,V. Wanyama,28,Kenya,Tottenham Hotspur,78,79,10500000,77000,CDM,2021,51,65,67,70,79,82,Premier League,UK,Midfielder,10.5M,77K
600,C. Kabasele,28,Belgium,Watford,78,79,1.00E+07,61000,CB,2021,70,50,51,62,78,77,Premier League,UK,Defender,10M,61K
601,A. Delort,27,Algeria,Montpellier HSC,78,79,1.20E+07,37000,ST,2023,73,78,70,73,33,80,Ligue 1,France,Forward,12M,37K
602,Joel Robles,29,Spain,Real Betis,78,79,8500000,20000,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,8.5M,20K
603,M. Uth,27,Germany,FC Schalke 04,78,79,1.20E+07,36000,ST,2022,76,80,69,77,40,68,Bundesliga,Germany,Forward,12M,36K
604,M. Doherty,27,Republic of Ireland,Wolverhampton Wanderers,78,79,10500000,69000,RWB,2023,74,63,71,74,74,78,Premier League,UK,Defender,10.5M,69K
605,David López,29,Spain,RCD Espanyol,78,79,1.00E+07,29000,CB,2023,54,60,67,66,78,78,La Liga,Spain,Defender,10M,29K
606,R. Freuler,27,Switzerland,Atalanta,78,79,11500000,52000,CM,2022,66,69,75,75,70,69,Serie A,Italy,Midfielder,11.5M,52K
607,D. Demme,27,Germany,RB Leipzig,78,79,10500000,45000,CDM,2021,60,39,74,74,74,78,Bundesliga,Germany,Midfielder,10.5M,45K
608,A. Schwolow,27,Germany,SC Freiburg,78,79,8500000,20000,GK,2020,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,8.5M,20K
609,J. Vestergaard,26,Denmark,Southampton,78,79,1.10E+07,51000,CB,2022,34,49,61,48,80,77,Premier League,UK,Defender,11M,51K
610,F. Mollet,27,France,Montpellier HSC,78,79,1.20E+07,34000,CAM,2023,76,74,78,79,50,59,Ligue 1,France,Midfielder,12M,34K
611,V. Grifo,26,Italy,TSG 1899 Hoffenheim,78,79,1.20E+07,36000,LM,2022,70,75,76,82,41,62,Bundesliga,Germany,Midfielder,12M,36K
612,F. Tait,26,France,Stade Rennais FC,78,79,1.20E+07,43000,LM,2023,75,71,76,81,33,58,Ligue 1,France,Midfielder,12M,43K
613,D. Laxalt,26,Uruguay,Milan,78,79,1.20E+07,40000,LM,2022,88,63,74,78,62,69,Serie A,Italy,Midfielder,12M,40K
614,N. Maksimovic,27,Serbia,Napoli,78,79,10500000,54000,CB,2021,62,28,47,54,80,78,Serie A,Italy,Defender,10.5M,54K
615,Capa,27,Spain,Athletic Club de Bilbao,78,79,10500000,23000,RB,2022,82,63,69,76,73,83,La Liga,Spain,Defender,10.5M,23K
616,Bastos,27,Angola,Lazio,78,79,10500000,44000,CB,2020,78,37,50,65,79,75,Serie A,Italy,Defender,10.5M,44K
617,Andrés Fernández,32,Spain,Villarreal CF,78,78,6500000,25000,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,6.5M,25K
618,Hilton,41,Brazil,Montpellier HSC,78,78,0,21000,CB,2020,36,51,67,66,80,71,Ligue 1,France,Defender,0,21K
619,D. Abraham,32,Argentina,Eintracht Frankfurt,78,78,6500000,33000,CB,2021,75,56,61,52,78,77,Bundesliga,Germany,Defender,6.5M,33K
620,A. Masiello,33,Italy,Atalanta,78,78,4900000,48000,CB,2021,54,37,57,58,80,70,Serie A,Italy,Defender,4.9M,48K
621,R. Bertrand,29,England,Southampton,78,78,8500000,53000,LB,2021,76,53,70,76,76,70,Premier League,UK,Defender,8.5M,53K
622,Gervinho,32,Ivory Coast,Parma,78,78,8.00E+06,49000,LW,2021,90,70,71,80,35,59,Serie A,Italy,Forward,8M,49K
623,N. Sahin,30,Turkey,SV Werder Bremen,78,78,8500000,28000,CDM,2020,31,69,81,77,74,67,Bundesliga,Germany,Midfielder,8.5M,28K
624,S. Defour,31,Belgium,Burnley,78,78,9.00E+06,39000,CM,2020,60,71,78,76,74,68,Premier League,UK,Midfielder,9M,39K
625,K. Mirallas,31,Belgium,Everton,78,78,9.00E+06,75000,LM,2021,76,73,76,80,43,61,Premier League,UK,Midfielder,9M,75K
626,Coke,32,Spain,Levante UD,78,78,6500000,24000,RB,2022,74,66,71,74,78,72,La Liga,Spain,Defender,6.5M,24K
627,C. Ansaldi,32,Argentina,Torino,78,78,8.00E+06,45000,LM,2021,75,62,77,79,76,70,Serie A,Italy,Midfielder,8M,45K
628,J. Tomkins,30,England,Crystal Palace,78,78,8500000,51000,CB,2021,41,32,57,54,80,75,Premier League,UK,Defender,8.5M,51K
629,F. Caicedo,30,Ecuador,Lazio,78,78,1.00E+07,52000,CF,2020,74,76,71,75,44,81,Serie A,Italy,Forward,10M,52K
630,V. Birsa,32,Slovenia,Cagliari,78,78,8.00E+06,35000,CAM,2021,67,73,78,79,56,68,Serie A,Italy,Midfielder,8M,35K
631,C. Zapata,32,Colombia,Genoa,78,78,6500000,18000,CB,2021,61,32,46,56,82,76,Serie A,Italy,Defender,6.5M,18K
632,J. Hernández,31,Mexico,West Ham United,78,78,9500000,82000,ST,2020,70,77,64,75,31,59,Premier League,UK,Forward,9.5M,82K
633,P. Diop,33,Senegal,SD Eibar,78,78,5.00E+06,23000,CDM,2020,44,66,68,68,78,85,La Liga,Spain,Midfielder,5M,23K
634,D. Da Silva,31,France,Stade Rennais FC,78,78,7500000,39000,CB,2021,59,37,57,54,78,76,Ligue 1,France,Defender,7.5M,39K
635,Marcelo,32,Brazil,Olympique Lyonnais,78,78,6500000,58000,CB,2021,51,49,58,55,77,87,Ligue 1,France,Defender,6.5M,58K
636,S. Jovetic,29,Montenegro,AS Monaco,78,78,10500000,45000,ST,2021,67,80,76,80,35,63,Ligue 1,France,Forward,10.5M,45K
637,M. Cáceres,32,Uruguay,Lazio,78,78,6500000,44000,CB,2022,74,51,65,70,79,73,Serie A,Italy,Defender,6.5M,44K
638,J. Holebas,35,Greece,Watford,78,78,2900000,42000,LB,2020,69,65,75,74,76,76,Premier League,UK,Defender,2.9M,42K
639,T. Deeney,31,England,Watford,78,78,9500000,69000,ST,2021,57,79,67,71,37,85,Premier League,UK,Forward,9.5M,69K
640,O. Karnezis,33,Greece,Napoli,78,78,5500000,44000,GK,2021,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,5.5M,44K
641,N. Petersen,30,Germany,SC Freiburg,78,78,1.00E+07,30000,ST,2021,59,79,59,66,45,73,Bundesliga,Germany,Forward,10M,30K
642,P. Piatti,30,Argentina,RCD Espanyol,78,78,1.00E+07,30000,LM,2020,84,72,75,79,47,54,La Liga,Spain,Midfielder,10M,30K
643,Bruno,35,Spain,Villarreal CF,78,78,4300000,25000,CM,2020,31,71,77,70,76,62,La Liga,Spain,Midfielder,4.3M,25K
644,Adrien Silva,30,Portugal,Leicester City,78,78,9500000,75000,CM,2021,58,74,79,76,70,65,Premier League,UK,Midfielder,9.5M,75K
645,Mikel San José,30,Spain,Athletic Club de Bilbao,78,78,9500000,26000,CM,2020,43,69,69,64,79,80,La Liga,Spain,Midfielder,9.5M,26K
646,D. Welbeck,28,England,Watford,78,78,10500000,72000,ST,2022,77,74,70,77,43,74,Premier League,UK,Forward,10.5M,72K
647,A. Barnes,29,England,Burnley,78,78,10500000,44000,ST,2021,62,78,68,74,47,81,Premier League,UK,Forward,10.5M,44K
648,C. Grenier,28,France,Stade Rennais FC,78,78,10500000,45000,CM,2021,54,75,80,76,62,69,Ligue 1,France,Midfielder,10.5M,45K
649,Camacho,29,Spain,VfL Wolfsburg,78,78,9.00E+06,44000,CDM,2021,54,60,70,68,79,72,Bundesliga,Germany,Midfielder,9M,44K
650,A. Mehmedi,28,Switzerland,VfL Wolfsburg,78,78,10500000,52000,CF,2022,71,77,71,80,44,68,Bundesliga,Germany,Forward,10.5M,52K
651,Daniel Carriço,30,Portugal,Sevilla FC,78,78,8500000,17000,CB,2020,39,53,67,61,78,73,La Liga,Spain,Defender,8.5M,17K
652,S. Rudy,29,Germany,TSG 1899 Hoffenheim,78,78,9.00E+06,35000,CDM,2020,64,67,79,78,75,67,Bundesliga,Germany,Midfielder,9M,35K
653,B. Hübner,29,Germany,TSG 1899 Hoffenheim,78,78,8500000,35000,CB,2022,53,31,51,58,81,74,Bundesliga,Germany,Defender,8.5M,35K
654,Iborra,31,Spain,Villarreal CF,78,78,9.00E+06,33000,CM,2023,35,69,74,69,77,79,La Liga,Spain,Midfielder,9M,33K
655,J. Baumgartlinger,31,Austria,Bayer 04 Leverkusen,78,78,8.00E+06,53000,CDM,2020,68,49,69,68,78,81,Bundesliga,Germany,Midfielder,8M,53K
656,Rafael,28,Brazil,Olympique Lyonnais,78,78,9.00E+06,61000,RB,2021,79,60,74,79,75,78,Ligue 1,France,Defender,9M,61K
657,B. Mee,29,England,Burnley,78,78,8500000,37000,CB,2021,61,42,58,62,79,80,Premier League,UK,Defender,8.5M,37K
658,De Marcos,30,Spain,Athletic Club de Bilbao,78,78,8.00E+06,23000,RB,2021,82,62,72,75,71,78,La Liga,Spain,Defender,8M,23K
659,M. Hitz,31,Switzerland,Borussia Dortmund,78,78,6500000,49000,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,6.5M,49K
660,N. Clyne,28,England,Liverpool,78,78,9.00E+06,77000,RB,2020,71,61,70,77,77,69,Premier League,UK,Defender,9M,77K
661,B. André,28,France,LOSC Lille,78,78,10500000,42000,CM,2023,70,64,75,75,77,82,Ligue 1,France,Midfielder,10.5M,42K
662,M. Antonio,29,England,West Ham United,78,78,1.00E+07,79000,RM,2021,85,72,73,78,56,82,Premier League,UK,Midfielder,10M,79K
663,P. Groß,28,Germany,Brighton & Hove Albion,78,78,10500000,52000,CM,2022,58,72,82,74,60,72,Premier League,UK,Midfielder,10.5M,52K
664,J. Guðmundsson,28,Iceland,Burnley,78,78,10500000,40000,RM,2021,75,74,78,77,61,70,Premier League,UK,Midfielder,10.5M,40K
665,D. Ginczek,28,Germany,VfL Wolfsburg,78,78,10500000,52000,ST,2022,76,77,51,68,38,79,Bundesliga,Germany,Forward,10.5M,52K
666,S. Cook,28,England,Bournemouth,78,78,9.00E+06,61000,CB,2021,53,34,55,60,78,75,Premier League,UK,Defender,9M,61K
667,Jaume Costa,31,Spain,Valencia CF,78,78,7500000,33000,LB,2020,76,61,71,73,78,71,La Liga,Spain,Defender,7.5M,33K
668,R. Soriano,28,Italy,Bologna,78,78,10500000,36000,CAM,2023,71,74,77,79,67,68,Serie A,Italy,Midfielder,10.5M,36K
669,Hugo Mallo,28,Spain,RC Celta,78,78,9.00E+06,25000,RB,2023,68,39,69,73,75,74,La Liga,Spain,Defender,9M,25K
670,A. Townsend,27,England,Crystal Palace,78,78,1.10E+07,55000,RM,2021,78,77,75,80,38,69,Premier League,UK,Midfielder,11M,55K
671,A. Finnbogason,30,Iceland,FC Augsburg,78,78,1.00E+07,30000,ST,2022,66,81,62,74,33,69,Bundesliga,Germany,Forward,10M,30K
672,B. Stambouli,28,France,FC Schalke 04,78,78,9.00E+06,32000,CB,2020,63,55,67,70,79,76,Bundesliga,Germany,Defender,9M,32K
673,K. Malcuit,27,France,Napoli,78,78,9.00E+06,54000,RB,2022,85,63,73,78,74,75,Serie A,Italy,Defender,9M,54K
674,Nolito,32,Spain,Sevilla FC,78,78,8.00E+06,19000,LM,2020,68,77,76,78,45,64,La Liga,Spain,Midfielder,8M,19K
675,S. Rode,28,Germany,Eintracht Frankfurt,78,78,9.00E+06,35000,CDM,2024,67,62,71,73,76,77,Bundesliga,Germany,Midfielder,9M,35K
676,G. Ramírez,28,Uruguay,Sampdoria,78,78,10500000,39000,CAM,2021,63,75,78,79,39,58,Serie A,Italy,Midfielder,10.5M,39K
677,M. Rojo,29,Argentina,Manchester United,78,78,8500000,95000,CB,2021,67,59,68,65,76,76,Premier League,UK,Defender,8.5M,95K
678,Naldo,30,Brazil,RCD Espanyol,78,78,8500000,27000,CB,2020,39,38,49,51,80,74,La Liga,Spain,Defender,8.5M,27K
679,J. Gouweleeuw,27,Netherlands,FC Augsburg,78,78,9500000,25000,CB,2024,69,58,66,64,80,75,Bundesliga,Germany,Defender,9.5M,25K
680,G. Defrel,28,France,Roma,78,78,10500000,48000,ST,2022,86,78,68,82,36,55,Serie A,Italy,Forward,10.5M,48K
681,Álvaro,29,Spain,Olympique de Marseille,78,78,8500000,36000,CB,2020,71,33,55,57,77,78,Ligue 1,France,Defender,8.5M,36K
