,Player,age,nationality,club,overall,potential,value_eur,wage_eur,player_positions,contract_valid_until,pace,shooting,passing,dribbling,defending,physic,League,Country,Class,Value,Wages,Name.Pos,, Value_Euros , Value_Euros1 
629,D. Gosling,29,England,Bournemouth,75,75,€6.5M,€55K,CM,2021,55,68,73,70,70,69,Premier League,UK,Midfielder,6.5M,55K,"D. Gosling, CM",,"6,500,000.00",6500000
630,D. Gray,23,England,Leicester City,75,80,€9M,€60K,LW,2021,88,67,67,81,37,55,Premier League,UK,Forward,9M,60K,"D. Gray, LW",,"9,000,000.00",9000000
631,D. Grimshaw,21,England,Manchester City,55,69,€150K,€6K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,150K,6K,"D. Grimshaw, GK",,"150,000.00",150000
632,D. Heintz,25,Germany,SC Freiburg,76,78,€8.5M,€21K,CB,2022,59,36,60,59,74,79,Bundesliga,Germany,Defender,8.5M,21K,"D. Heintz, CB",,"8,500,000.00",8500000
633,D. Henderson,22,England,Sheffield United,75,85,€8.5M,€20K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,8.5M,20K,"D. Henderson, GK",,"8,500,000.00",8500000
634,D. Ings,26,England,Southampton,76,77,€9M,€53K,ST,2022,75,74,64,76,32,66,Premier League,UK,Forward,9M,53K,"D. Ings, ST",,"9,000,000.00",9000000
635,D. Itter,20,Germany,VfL Wolfsburg,59,72,€280K,€4K,RB,2021,63,36,48,56,59,55,Bundesliga,Germany,Defender,280K,4K,"D. Itter, RB",,"280,000.00",280000
636,D. James,21,Wales,Manchester United,72,84,€5.5M,€46K,LM,2024,94,61,63,73,27,57,Premier League,UK,Midfielder,5.5M,46K,"D. James, LM",,"5,500,000.00",5500000
637,D. Janmaat,29,Netherlands,Watford,77,77,€7.5M,€57K,RB,2020,67,65,73,76,75,74,Premier League,UK,Defender,7.5M,57K,"D. Janmaat, RB",,"7,500,000.00",7500000
638,D. Jastrzembski,19,Germany,Hertha BSC,66,84,€1.4M,€4K,LM,2022,80,61,60,69,35,58,Bundesliga,Germany,Midfielder,1.4M,4K,"D. Jastrzembski, LM",,"1,400,000.00",1400000
639,D. Joveljic,19,Serbia,Eintracht Frankfurt,69,82,€2M,€10K,ST,2024,73,68,53,71,30,61,Bundesliga,Germany,Forward,2M,10K,"D. Joveljic, ST",,"2,000,000.00",2000000
640,D. Kamada,22,Japan,Eintracht Frankfurt,73,79,€5.5M,€25K,CF,2021,75,69,71,76,36,60,Bundesliga,Germany,Forward,5.5M,25K,"D. Kamada, CF",,"5,500,000.00",5500000
641,D. Kemp,20,England,West Ham United,57,67,€170K,€8K,RM,2021,70,47,50,64,27,34,Premier League,UK,Midfielder,170K,8K,"D. Kemp, RM",,"170,000.00",170000
642,D. Khalid,20,Morocco,Amiens SC,66,75,€1M,€5K,ST,2022,68,66,56,70,19,53,Ligue 1,France,Forward,1M,5K,"D. Khalid, ST",,"1,000,000.00",1000000
643,D. Kiki,25,Benin,Stade Brestois 29,64,66,€475K,€4K,LB,2020,73,51,57,64,59,71,Ligue 1,France,Defender,475K,4K,"D. Kiki, LB",,"475,000.00",475000
644,D. Klaassen,26,Netherlands,SV Werder Bremen,80,81,€17M,€35K,CM,2022,65,78,74,75,70,75,Bundesliga,Germany,Midfielder,17M,35K,"D. Klaassen, CM",,"17,000,000.00",17000000
645,D. Kohr,25,Germany,Eintracht Frankfurt,76,79,€8.5M,€28K,CDM,2024,68,58,63,71,75,79,Bundesliga,Germany,Midfielder,8.5M,28K,"D. Kohr, CDM",,"8,500,000.00",8500000
646,D. Kownacki,22,Poland,Fortuna Dusseldorf,73,83,€6.5M,€22K,ST,2020,78,70,59,70,28,70,Bundesliga,Germany,Forward,6.5M,22K,"D. Kownacki, ST",,"6,500,000.00",6500000
647,D. Kulusevski,19,Sweden,Parma,64,80,€950K,€5K,CM,2020,59,51,61,65,55,54,Serie A,Italy,Midfielder,950K,5K,"D. Kulusevski, CM",,"950,000.00",950000
648,D. Lainez,19,Mexico,Real Betis,72,85,€6M,€9K,RM,2024,84,63,64,79,47,53,La Liga,Spain,Midfielder,6M,9K,"D. Lainez, RM",,"6,000,000.00",6000000
649,D. Latza,29,Germany,1. FSV Mainz 05,77,77,€8.5M,€30K,CM,2021,66,57,75,74,72,76,Bundesliga,Germany,Midfielder,8.5M,30K,"D. Latza, CM",,"8,500,000.00",8500000
650,D. Laxalt,26,Uruguay,Milan,78,79,€12M,€40K,LM,2022,88,63,74,78,62,69,Serie A,Italy,Midfielder,12M,40K,"D. Laxalt, LM",,"12,000,000.00",12000000
651,D. Lazovic,28,Serbia,Hellas Verona,74,74,€5.5M,€16K,LM,2022,86,64,71,76,47,47,Serie A,Italy,Midfielder,5.5M,16K,"D. Lazovic, LM",,"5,500,000.00",5500000
652,D. Le Tallec,29,France,Montpellier HSC,75,75,€5.5M,€28K,CDM,2022,67,62,66,70,76,75,Ligue 1,France,Midfielder,5.5M,28K,"D. Le Tallec, CDM",,"5,500,000.00",5500000
653,D. Leon,26,France,Stade Brestois 29,64,68,€425K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,425K,3K,"D. Leon, GK",,"425,000.00",425000
654,D. Lienard,31,France,RC Strasbourg Alsace,73,73,€3.4M,€23K,CM,2021,63,72,77,71,56,67,Ligue 1,France,Midfielder,3.4M,23K,"D. Lienard, CM",,"3,400,000.00",3400000
655,D. Lovren,29,Croatia,Liverpool,80,80,€12.5M,€90K,CB,2021,54,40,59,62,80,78,Premier League,UK,Defender,12.5M,90K,"D. Lovren, CB",,"12,500,000.00",12500000
656,D. Lovren,20,Croatia,Fortuna Dusseldorf,64,79,€1M,€5K,RM,2023,75,54,56,69,25,43,Bundesliga,Germany,Midfielder,1M,5K,"D. Lovren, RM",,"1,000,000.00",1000000
657,D. Lukebakio,21,Belgium,Hertha BSC,75,82,€9.5M,€21K,ST,2022,86,74,66,78,28,62,Bundesliga,Germany,Forward,9.5M,21K,"D. Lukebakio, ST",,"9,500,000.00",9500000
658,D. Machís,26,Venezuela,Granada CF,75,75,€7M,€20K,LM,2021,88,74,68,79,38,67,La Liga,Spain,Midfielder,7M,20K,"D. Machís, LM",,"7,000,000.00",7000000
659,D. Mancini,22,Argentina,FC Girondins de Bordeaux,69,78,€1.6M,€12K,RM,2020,71,58,63,74,57,64,Ligue 1,France,Midfielder,1.6M,12K,"D. Mancini, RM",,"1,600,000.00",1600000
660,D. Martin,33,England,West Ham United,66,66,€350K,€14K,GK,2021,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,350K,14K,"D. Martin, GK",,"350,000.00",350000
661,D. McGoldrick,31,Republic of Ireland,Sheffield United,72,72,€2.8M,€26K,ST,2021,66,71,67,72,33,67,Premier League,UK,Forward,2.8M,26K,"D. McGoldrick, ST",,"2,800,000.00",2800000
662,D. McNeil,19,England,Burnley,74,85,€9.5M,€17K,LM,2023,77,66,71,75,50,66,Premier League,UK,Midfielder,9.5M,17K,"D. McNeil, LM",,"9,500,000.00",9500000
663,D. Merola,19,Italy,Inter,59,74,€325K,€5K,ST,2020,57,58,44,57,24,49,Serie A,Italy,Forward,325K,5K,"D. Merola, ST",,"325,000.00",325000
664,D. Mertens,32,Belgium,Napoli,87,87,€40M,€135K,CF,2020,88,83,80,91,35,53,Serie A,Italy,Forward,40M,135K,"D. Mertens, CF",,"40,000,000.00",40000000
665,D. Mitchell,22,England,Manchester United,66,77,€1M,€19K,LB,2020,82,61,66,69,59,60,Premier League,UK,Defender,1M,19K,"D. Mitchell, LB",,"1,000,000.00",1000000
666,D. Ndong,25,Gabon,Dijon FCO,72,77,€3.7M,€10K,CDM,2023,69,60,63,71,69,76,Ligue 1,France,Midfielder,3.7M,10K,"D. Ndong, CDM",,"3,700,000.00",3700000
667,D. Origi,24,Belgium,Liverpool,78,83,€14M,€77K,ST,2022,82,76,67,75,27,74,Premier League,UK,Forward,14M,77K,"D. Origi, ST",,"14,000,000.00",14000000
668,D. Osei Yaw,20,France,Stade Brestois 29,64,75,€775K,€4K,RW,2021,79,62,53,66,33,58,Ligue 1,France,Forward,775K,4K,"D. Osei Yaw, RW",,"775,000.00",775000
669,D. Ospina,30,Colombia,Napoli,80,80,€10M,€51K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,10M,51K,"D. Ospina, GK",,"10,000,000.00",10000000
670,D. Padelli,33,Italy,Inter,74,74,€3M,€34K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,3M,34K,"D. Padelli, GK",,"3,000,000.00",3000000
671,D. Parker,23,Germany,1. FSV Mainz 05,63,71,€550K,€5K,LW,2020,74,56,57,67,37,53,Bundesliga,Germany,Forward,550K,5K,"D. Parker, LW",,"550,000.00",550000
672,D. Payet,32,France,Olympique de Marseille,81,81,€14M,€46K,CAM,2021,71,77,82,81,38,67,Ligue 1,France,Midfielder,14M,46K,"D. Payet, CAM",,"14,000,000.00",14000000
673,D. Perotti,30,Argentina,Roma,80,80,€14M,€54K,LW,2021,75,70,77,86,42,57,Serie A,Italy,Forward,14M,54K,"D. Perotti, LW",,"14,000,000.00",14000000
674,D. Petkovic,26,Montenegro,Angers SCO,64,67,€400K,€4K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,400K,4K,"D. Petkovic, GK",,"400,000.00",400000
675,D. Petric,31,Serbia,FC Nantes,69,69,€675K,€9K,GK,2021,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,675K,9K,"D. Petric, GK",,"675,000.00",675000
676,D. Philipp,19,Germany,SV Werder Bremen,62,78,€650K,€3K,CAM,2022,65,58,57,63,39,53,Bundesliga,Germany,Midfielder,650K,3K,"D. Philipp, CAM",,"650,000.00",650000
677,D. Praet,25,Belgium,Leicester City,76,81,€10M,€63K,CM,2023,69,70,77,78,61,64,Premier League,UK,Midfielder,10M,63K,"D. Praet, CM",,"10,000,000.00",10000000
678,D. Propper,27,Netherlands,Brighton & Hove Albion,77,78,€10M,€47K,CM,2021,62,70,73,75,67,75,Premier League,UK,Midfielder,10M,47K,"D. Propper, CM",,"10,000,000.00",10000000
679,D. Ragatzu,27,Italy,Cagliari,63,63,€400K,€7K,ST,2021,77,60,53,68,31,47,Serie A,Italy,Forward,400K,7K,"D. Ragatzu, ST",,"400,000.00",400000
680,D. Redan,18,Netherlands,Hertha BSC,61,82,€575K,€2K,ST,2024,74,60,48,58,22,55,Bundesliga,Germany,Forward,575K,2K,"D. Redan, ST",,"575,000.00",575000
681,D. Revan,18,England,Aston Villa,56,75,€170K,€2K,CB,2020,65,27,38,44,54,59,Premier League,UK,Defender,170K,2K,"D. Revan, CB",,"170,000.00",170000
682,D. Riccardi,23,Italy,Lecce,58,64,€160K,€2K,CB,2022,64,27,29,38,57,66,Serie A,Italy,Defender,160K,2K,"D. Riccardi, CB",,"160,000.00",160000
683,D. Rice,20,England,West Ham United,78,87,€15M,€49K,CDM,2024,62,37,64,68,77,77,Premier League,UK,Midfielder,15M,49K,"D. Rice, CDM",,"15,000,000.00",15000000
684,D. Rose,28,England,Tottenham Hotspur,80,80,€12.5M,€90K,LB,2021,77,62,74,79,80,75,Premier League,UK,Defender,12.5M,90K,"D. Rose, LB",,"12,500,000.00",12500000
685,D. Rouyard,19,France,FC Girondins de Bordeaux,53,68,€110K,€1K,GK,2022,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,110K,1K,"D. Rouyard, GK",,"110,000.00",110000
686,D. Rugani,24,Italy,Juventus,82,86,€26M,€95K,CB,2023,64,39,55,64,85,74,Serie A,Italy,Defender,26M,95K,"D. Rugani, CB",,"26,000,000.00",26000000
687,D. Sakho,29,Senegal,Stade Rennais FC,74,74,€5.5M,€38K,ST,2020,71,73,58,71,32,72,Ligue 1,France,Forward,5.5M,38K,"D. Sakho, ST",,"5,500,000.00",5500000
688,D. Samassekou,23,Mali,TSG 1899 Hoffenheim,79,86,€16M,€32K,CDM,2024,73,49,69,72,77,77,Bundesliga,Germany,Midfielder,16M,32K,"D. Samassekou, CDM",,"16,000,000.00",16000000
689,D. Sánchez,23,Colombia,Tottenham Hotspur,83,87,€30.5M,€93K,CB,2024,74,45,57,66,83,81,Premier League,UK,Defender,30.5M,93K,"D. Sánchez, CB",,"30,500,000.00",30500000
690,D. Sanderson,19,England,Wolverhampton Wanderers,56,75,€180K,€5K,CB,2021,72,40,47,54,53,66,Premier League,UK,Defender,180K,5K,"D. Sanderson, CB",,"180,000.00",180000
691,D. Santon,28,Italy,Roma,75,75,€5.5M,€34K,RB,2022,67,58,71,73,74,69,Serie A,Italy,Defender,5.5M,34K,"D. Santon, RB",,"5,500,000.00",5500000
692,D. Selke,24,Germany,Hertha BSC,78,83,€14M,€29K,ST,2022,76,76,53,72,43,76,Bundesliga,Germany,Forward,14M,29K,"D. Selke, ST",,"14,000,000.00",14000000
693,D. Sidibe,26,France,Everton,77,78,€9M,€65K,RB,2020,77,62,74,74,73,79,Premier League,UK,Defender,9M,65K,"D. Sidibe, RB",,"9,000,000.00",9000000
694,D. Sinkgraven,23,Netherlands,Bayer 04 Leverkusen,72,77,€3.7M,€28K,LB,2023,79,59,74,79,66,62,Bundesliga,Germany,Defender,3.7M,28K,"D. Sinkgraven, LB",,"3,700,000.00",3700000
695,D. Siovas,30,Greece,CD Leganes,76,76,€6M,€26K,CB,2021,32,44,56,61,74,82,La Liga,Spain,Defender,6M,26K,"D. Siovas, CB",,"6,000,000.00",6000000
696,D. Smarsch,20,Germany,Hertha BSC,62,76,€575K,€2K,GK,2021,NA,NA,NA,NA,NA,NA,Bundesliga,Germany,Goal Keeper,575K,2K,"D. Smarsch, GK",,"575,000.00",575000
697,D. Solanke,21,England,Bournemouth,70,80,€2.9M,€25K,ST,2023,66,69,60,70,27,69,Premier League,UK,Forward,2.9M,25K,"D. Solanke, ST",,"2,900,000.00",2900000
698,D. Sow,22,Switzerland,Eintracht Frankfurt,74,85,€9.5M,€24K,CM,2024,78,65,72,72,68,72,Bundesliga,Germany,Midfielder,9.5M,24K,"D. Sow, CM",,"9,500,000.00",9500000
699,D. Srbeny,25,Germany,Norwich City,68,72,€1.2M,€18K,ST,2021,68,63,54,64,32,71,Premier League,UK,Forward,1.2M,18K,"D. Srbeny, ST",,"1,200,000.00",1200000
700,D. Stephens,30,England,Brighton & Hove Albion,76,76,€7M,€44K,CM,2021,57,64,74,69,71,78,Premier League,UK,Midfielder,7M,44K,"D. Stephens, CM",,"7,000,000.00",7000000
701,D. Suárez,31,Uruguay,Getafe CF,79,79,€9M,€26K,RB,2022,76,67,74,73,78,76,La Liga,Spain,Defender,9M,26K,"D. Suárez, RB",,"9,000,000.00",9000000
702,D. Subašic,34,Croatia,AS Monaco,80,80,€6.5M,€34K,GK,2020,NA,NA,NA,NA,NA,NA,Ligue 1,France,Goal Keeper,6.5M,34K,"D. Subašic, GK",,"6,500,000.00",6500000
703,D. Thiam,21,Senegal,SPAL,51,63,€50K,€1K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,50K,1K,"D. Thiam, GK",,"50,000.00",50000
704,D. Tokpa,18,France,Amiens SC,60,66,€260K,€1K,ST,2022,63,58,46,58,22,50,Ligue 1,France,Forward,260K,1K,"D. Tokpa, ST",,"260,000.00",260000
705,D. Torres,29,Colombia,Deportivo Alaves,75,75,€5.5M,€21K,CDM,2020,53,61,68,69,72,79,La Liga,Spain,Midfielder,5.5M,21K,"D. Torres, CDM",,"5,500,000.00",5500000
706,D. Upamecano,20,France,RB Leipzig,77,88,€14M,€30K,CB,2021,76,36,59,61,75,80,Bundesliga,Germany,Defender,14M,30K,"D. Upamecano, CB",,"14,000,000.00",14000000
707,D. Vavro,23,Slovakia,Lazio,72,79,€3.9M,€23K,CB,2024,68,49,51,56,70,79,Serie A,Italy,Defender,3.9M,23K,"D. Vavro, CB",,"3,900,000.00",3900000
708,D. Vlahovic,19,Serbia,Fiorentina,60,79,€450K,€5K,ST,2023,59,61,49,55,24,57,Serie A,Italy,Forward,450K,5K,"D. Vlahovic, ST",,"450,000.00",450000
709,D. Wanner,20,Germany,Borussia Dortmund,60,75,€450K,€7K,LM,2020,67,55,55,66,37,53,Bundesliga,Germany,Midfielder,450K,7K,"D. Wanner, LM",,"450,000.00",450000
710,D. Ward,26,Wales,Leicester City,73,74,€3.3M,€39K,GK,2022,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,3.3M,39K,"D. Ward, GK",,"3,300,000.00",3300000
711,D. Wass,30,Denmark,Valencia CF,80,80,€13.5M,€42K,CM,2022,73,77,81,77,76,75,La Liga,Spain,Midfielder,13.5M,42K,"D. Wass, CM",,"13,500,000.00",13500000
712,D. Welbeck,28,England,Watford,78,78,€10.5M,€72K,ST,2022,77,74,70,77,43,74,Premier League,UK,Forward,10.5M,72K,"D. Welbeck, ST",,"10,500,000.00",10500000
713,D. Yedlin,25,United States,Newcastle United,76,79,€8.5M,€32K,RWB,2021,92,51,65,76,71,70,Premier League,UK,Defender,8.5M,32K,"D. Yedlin, RWB",,"8,500,000.00",8500000
714,D. Zagadou,20,France,Borussia Dortmund,79,86,€16M,€48K,CB,2022,62,34,61,50,80,80,Bundesliga,Germany,Defender,16M,48K,"D. Zagadou, CB",,"16,000,000.00",16000000
715,D. Zakaria,22,Switzerland,Borussia Monchengladbach,78,86,€15M,€26K,CM,2022,82,63,75,76,79,82,Bundesliga,Germany,Midfielder,15M,26K,"D. Zakaria, CM",,"15,000,000.00",15000000
716,D. Zapata,28,Colombia,Atalanta,82,82,€23M,€80K,ST,2020,71,81,56,76,37,83,Serie A,Italy,Forward,23M,80K,"D. Zapata, ST",,"23,000,000.00",23000000
717,D. Zappacosta,27,Italy,Chelsea,79,80,€12.5M,€94K,RB,2021,78,66,72,75,76,74,Premier League,UK,Defender,12.5M,94K,"D. Zappacosta, RB",,"12,500,000.00",12500000
718,D. Zurutuza,32,France,Real Sociedad,76,76,€6M,€26K,CM,2020,56,70,74,76,68,65,La Liga,Spain,Midfielder,6M,26K,"D. Zurutuza, CM",,"6,000,000.00",6000000
719,Da Costa,35,Brazil,Bologna,72,72,€850K,€10K,GK,2020,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,850K,10K,"Da Costa, GK",,"850,000.00",850000
720,Dalbert,25,Brazil,Inter,76,79,€8.5M,€45K,LB,2023,91,58,69,76,72,71,Serie A,Italy,Defender,8.5M,45K,"Dalbert, LB",,"8,500,000.00",8500000
721,Dani Cárdenas,22,Spain,Levante UD,63,73,€475K,€3K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,475K,3K,"Dani Cárdenas, GK",,"475,000.00",475000
722,Dani Ceballos,22,Spain,Arsenal,81,87,€24M,€82K,CM,2020,69,67,79,84,68,68,Premier League,UK,Midfielder,24M,82K,"Dani Ceballos, CM",,"24,000,000.00",24000000
723,Dani García,29,Spain,Athletic Club de Bilbao,81,81,€17M,€33K,CM,2022,42,69,73,75,78,79,La Liga,Spain,Midfielder,17M,33K,"Dani García, CM",,"17,000,000.00",17000000
724,Dani Martín,20,Spain,Real Betis,69,79,€1.3M,€5K,GK,2024,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,1.3M,5K,"Dani Martín, GK",,"1,300,000.00",1300000
725,Dani Molina,23,Spain,RC Celta,64,75,€725K,€4K,CDM,2021,48,59,66,65,61,41,La Liga,Spain,Midfielder,725K,4K,"Dani Molina, CDM",,"725,000.00",725000
726,Dani Rodríguez,31,Spain,RCD Mallorca,72,72,€2.7M,€18K,CM,2021,66,71,69,72,63,63,La Liga,Spain,Midfielder,2.7M,18K,"Dani Rodríguez, CM",,"2,700,000.00",2700000
727,Dani Sandoval,21,Spain,Levante UD,62,76,€675K,€3K,LM,2021,78,58,56,65,19,49,La Liga,Spain,Midfielder,675K,3K,"Dani Sandoval, LM",,"675,000.00",675000
728,Dani Vivian,19,Spain,Athletic Club de Bilbao,64,77,€775K,€2K,CB,2020,58,36,47,47,63,66,La Liga,Spain,Defender,775K,2K,"Dani Vivian, CB",,"775,000.00",775000
729,Daniel Carrico,30,Portugal,Sevilla FC,78,78,€8.5M,€17K,CB,2020,39,53,67,61,78,73,La Liga,Spain,Defender,8.5M,17K,"Daniel Carrico, CB",,"8,500,000.00",8500000
730,Daniel Fuzato,21,Brazil,Roma,66,76,€825K,€5K,GK,2022,NA,NA,NA,NA,NA,NA,Serie A,Italy,Goal Keeper,825K,5K,"Daniel Fuzato, GK",,"825,000.00",825000
731,Daniel Rebollo,19,Spain,Real Betis,60,74,€375K,€1K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,375K,1K,"Daniel Rebollo, GK",,"375,000.00",375000
732,Danilo,27,Brazil,Juventus,79,79,€11M,€90K,RB,2024,71,70,74,74,78,76,Serie A,Italy,Defender,11M,90K,"Danilo, RB",,"11,000,000.00",11000000
733,Danilo,35,Brazil,Bologna,77,77,€2.7M,€21K,CB,2020,48,40,49,52,80,63,Serie A,Italy,Defender,2.7M,21K,"Danilo, CB",,"2,700,000.00",2700000
734,Danilo,23,Brazil,OGC Nice,75,80,€9M,€25K,CM,2021,67,66,71,72,74,75,Ligue 1,France,Midfielder,9M,25K,"Danilo, CM",,"9,000,000.00",9000000
735,Dante,35,Brazil,OGC Nice,79,79,€3.8M,€25K,CB,2021,36,52,67,63,80,76,Ligue 1,France,Defender,3.8M,25K,"Dante, CB",,"3,800,000.00",3800000
736,Darío Ramos,19,Spain,Getafe CF,58,75,€230K,€1K,GK,2021,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,230K,1K,"Darío Ramos, GK",,"230,000.00",230000
737,David Alba,20,Spain,Getafe CF,64,75,€725K,€3K,CB,2020,44,22,40,39,65,54,La Liga,Spain,Defender,725K,3K,"David Alba, CB",,"725,000.00",725000
738,David Cardoso,24,Macau,FC Girondins de Bordeaux,61,65,€290K,€4K,CB,2021,61,31,37,43,63,61,Ligue 1,France,Defender,290K,4K,"David Cardoso, CB",,"290,000.00",290000
739,David Costas,24,Spain,RC Celta,72,77,€3.7M,€13K,CB,2022,64,43,64,65,72,65,La Liga,Spain,Defender,3.7M,13K,"David Costas, CB",,"3,700,000.00",3700000
740,David García,25,Spain,CA Osasuna,69,74,€1.2M,€12K,CB,2021,52,36,57,61,67,72,La Liga,Spain,Defender,1.2M,12K,"David García, CB",,"1,200,000.00",1200000
741,David Juncà,25,Spain,RC Celta,73,78,€4.7M,€16K,LB,2023,72,45,65,67,69,76,La Liga,Spain,Defender,4.7M,16K,"David Juncà, LB",,"4,700,000.00",4700000
742,David López,29,Spain,RCD Espanyol,78,79,€10M,€29K,CB,2023,54,60,67,66,78,78,La Liga,Spain,Defender,10M,29K,"David López, CB",,"10,000,000.00",10000000
743,David Luiz,32,Brazil,Arsenal,83,83,€16.5M,€105K,CB,2021,61,65,74,70,82,77,Premier League,UK,Defender,16.5M,105K,"David Luiz, CB",,"16,500,000.00",16500000
744,David Silva,33,Spain,Manchester City,88,88,€36M,€265K,CAM,2020,65,74,88,89,52,57,Premier League,UK,Midfielder,36M,265K,"David Silva, CAM",,"36,000,000.00",36000000
745,David Soria,26,Spain,Getafe CF,82,84,€19.5M,€26K,GK,2022,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,19.5M,26K,"David Soria, GK",,"19,500,000.00",19500000
746,De Frutos,22,Spain,Real Valladolid CF,68,78,€1.4M,€7K,RM,2020,83,64,61,70,34,48,La Liga,Spain,Midfielder,1.4M,7K,"De Frutos, RM",,"1,400,000.00",1400000
747,De Gea,28,Spain,Manchester United,89,90,€56M,€205K,GK,2020,NA,NA,NA,NA,NA,NA,Premier League,UK,Goal Keeper,56M,205K,"De Gea, GK",,"56,000,000.00",56000000
748,De la Fuente,20,Spain,Real Madrid,65,81,€1.1M,€18K,CB,2020,57,39,50,55,64,66,La Liga,Spain,Defender,1.1M,18K,"De la Fuente, CB",,"1,100,000.00",1100000
749,De Marcos,30,Spain,Athletic Club de Bilbao,78,78,€8M,€23K,RB,2021,82,62,72,75,71,78,La Liga,Spain,Defender,8M,23K,"De Marcos, RB",,"8,000,000.00",8000000
750,Denis Suárez,25,Spain,RC Celta,78,82,€13M,€25K,CM,2023,76,72,79,83,59,56,La Liga,Spain,Midfielder,13M,25K,"Denis Suárez, CM",,"13,000,000.00",13000000
751,Deulofeu,25,Spain,Watford,80,83,€19M,€78K,CF,2023,88,73,75,87,30,56,Premier League,UK,Forward,19M,78K,"Deulofeu, CF",,"19,000,000.00",19000000
752,Dídac Vilà,30,Spain,RCD Espanyol,75,75,€5.5M,€23K,LB,2020,71,51,68,72,73,75,La Liga,Spain,Defender,5.5M,23K,"Dídac Vilà, LB",,"5,500,000.00",5500000
753,Diego Alende,21,Spain,Real Valladolid CF,67,80,€1.4M,€4K,CB,2022,45,26,42,46,67,69,La Liga,Spain,Defender,1.4M,4K,"Diego Alende, CB",,"1,400,000.00",1400000
754,Diego Carlos,26,Brazil,Sevilla FC,79,81,€13.5M,€19K,CB,2024,77,44,58,68,78,80,La Liga,Spain,Defender,13.5M,19K,"Diego Carlos, CB",,"13,500,000.00",13500000
755,Diego Costa,30,Spain,Atletico Madrid,83,83,€25M,€80K,ST,2021,73,82,64,75,49,85,La Liga,Spain,Forward,25M,80K,"Diego Costa, ST",,"25,000,000.00",25000000
756,Diego Farías,29,Brazil,Lecce,72,72,€3.1M,€15K,ST,2020,84,69,68,79,38,49,Serie A,Italy,Forward,3.1M,15K,"Diego Farías, ST",,"3,100,000.00",3100000
757,Diego Llorente,25,Spain,Real Sociedad,77,82,€10.5M,€24K,CB,2022,60,40,62,64,76,73,La Liga,Spain,Defender,10.5M,24K,"Diego Llorente, CB",,"10,500,000.00",10500000
758,Diego López,37,Spain,RCD Espanyol,80,80,€1.5M,€17K,GK,2020,NA,NA,NA,NA,NA,NA,La Liga,Spain,Goal Keeper,1.5M,17K,"Diego López, GK",,"1,500,000.00",1500000
759,Diego Pampín,19,Spain,RC Celta,61,77,€500K,€2K,LB,2020,60,33,51,55,58,55,La Liga,Spain,Defender,500K,2K,"Diego Pampín, LB",,"500,000.00",500000
760,Diego Rico,26,Spain,Bournemouth,74,76,€6M,€45K,LB,2022,72,58,69,67,73,73,Premier League,UK,Defender,6M,45K,"Diego Rico, LB",,"6,000,000.00",6000000
761,Diogo Dalot,20,Portugal,Manchester United,75,85,€10M,€54K,RB,2023,80,60,71,77,70,77,Premier League,UK,Defender,10M,54K,"Diogo Dalot, RB",,"10,000,000.00",10000000
762,Diogo Jota,22,Portugal,Wolverhampton Wanderers,80,86,€20.5M,€84K,CF,2022,83,77,70,84,53,76,Premier League,UK,Forward,20.5M,84K,"Diogo Jota, CF",,"20,500,000.00",20500000
763,Domingos Duarte,24,Portugal,Granada CF,72,78,€3.8M,€12K,CB,2023,45,35,46,51,73,77,La Liga,Spain,Defender,3.8M,12K,"Domingos Duarte, CB",,"3,800,000.00",3800000
764,Domingos Quina,19,Portugal,Watford,69,84,€2.3M,€15K,CAM,2022,72,63,63,72,43,50,Premier League,UK,Midfielder,2.3M,15K,"Domingos Quina, CAM",,"2,300,000.00",2300000
765,Douglas Costa,28,Brazil,Juventus,84,84,€31.5M,€155K,LM,2022,94,73,79,91,43,61,Serie A,Italy,Midfielder,31.5M,155K,"Douglas Costa, LM",,"31,500,000.00",31500000
766,Douglas Luiz,21,Brazil,Aston Villa,74,84,€9M,€33K,CM,2023,67,67,72,74,69,70,Premier League,UK,Midfielder,9M,33K,"Douglas Luiz, CM",,"9,000,000.00",9000000
